year_film,year_award,ceremony,category,nominee,film,win
2009,2010,67,Best Television Series - Musical or Comedy,30 Rock,,FALSE
2009,2010,67,Best Television Series - Musical or Comedy,Entourage,,FALSE
2009,2010,67,Best Television Series - Musical or Comedy,Modern Family,,FALSE
2009,2010,67,Best Television Limited Series or Motion Picture Made for Television,Grey Gardens,,TRUE
2009,2010,67,Best Television Limited Series or Motion Picture Made for Television,Georgia O'Keeffe,,FALSE
2009,2010,67,Best Television Limited Series or Motion Picture Made for Television,Into The Storm,,FALSE
2009,2010,67,Best Television Limited Series or Motion Picture Made for Television,Little Dorrit,,FALSE
2009,2010,67,Best Television Limited Series or Motion Picture Made for Television,Taking Chance,,FALSE
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Drew Barrymore,Grey Gardens,TRUE
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Lange,Grey Gardens,FALSE
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Anna Paquin,The Courageous Heart of Irena Sendler,FALSE
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sigourney Weaver,Prayers For Bobby,FALSE
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Joan Allen,Georgia O'Keeffe,FALSE
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Bacon,Taking Chance,TRUE
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kenneth Branagh,Wallander: One Step Behind,FALSE
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Chiwetel Ejiofor,Endgame,FALSE
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Brendan Gleeson,Into The Storm,FALSE
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jeremy Irons,Georgia O'Keeffe,FALSE
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,The Good Wife,TRUE
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Glenn Close,Damages,FALSE
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,January Jones,Mad Men,FALSE
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Anna Paquin,True Blood,FALSE
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",FALSE
2009,2010,67,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,TRUE
2009,2010,67,Best Performance by an Actor In A Television Series - Drama,Simon Baker,"Mentalist, The",FALSE
2009,2010,67,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,FALSE
2009,2010,67,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,FALSE
2009,2010,67,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,FALSE
2009,2010,67,Best Performance by an Actress in a Television Series - Musical or Comedy,Toni Collette,United States Of Tara,TRUE
2009,2010,67,Best Performance by an Actress in a Television Series - Musical or Comedy,Courteney Cox,Cougar Town,FALSE
2009,2010,67,Best Performance by an Actress in a Television Series - Musical or Comedy,Edie Falco,Nurse Jackie,FALSE
2009,2010,67,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,FALSE
2009,2010,67,Best Performance by an Actress in a Television Series - Musical or Comedy,Lea Michele,Glee,FALSE
2009,2010,67,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,TRUE
2009,2010,67,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",FALSE
2009,2010,67,Best Performance by an Actor in a Television Series - Musical or Comedy,David Duchovny,Californication,FALSE
